data,date,time,alertDate,category,category_desc,matrix_id,rid
Shahak industrial park,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465191
Barkan Industrial Park,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465190
Bar On Industrial Zone,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465189
Ariel Industrial Park,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465188
Avnei Hefetz,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465187
Revava,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465186
Karnei Shomron,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465185
Kiryat Netafim,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465184
Immanuel,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465183
Nofim,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465182
Yakir,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465181
Havat Yair,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465180
Barkan,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465179
Havat Eshkolot,2026-03-12,09:38:05.0,2026-03-12T09:38:00.0,13,The event has ended,10,465178
Eliav,2026-03-12,09:38:05.0,2026-03-12T09:38:00.0,13,The event has ended,10,465177
Shekef,2026-03-12,09:38:05.0,2026-03-12T09:38:00.0,13,The event has ended,10,465176
Shomria,2026-03-12,09:38:05.0,2026-03-12T09:38:00.0,13,The event has ended,10,465175
Neta,2026-03-12,09:38:05.0,2026-03-12T09:38:00.0,13,The event has ended,10,465174
Karmei Katif and Amatzia,2026-03-12,09:38:05.0,2026-03-12T09:38:00.0,13,The event has ended,10,465173
Bnei Dkalim,2026-03-12,09:38:05.0,2026-03-12T09:38:00.0,13,The event has ended,10,465172
Nofei Prat,2026-03-12,09:38:05.0,2026-03-12T09:38:00.0,13,The event has ended,10,465171
Mitzpe Hagit,2026-03-12,09:38:05.0,2026-03-12T09:38:00.0,13,The event has ended,10,465170
Almon,2026-03-12,09:38:05.0,2026-03-12T09:38:00.0,13,The event has ended,10,465169
Mitzpeh Yericho,2026-03-12,09:38:05.0,2026-03-12T09:38:00.0,13,The event has ended,10,465168
Kfar Edomim,2026-03-12,09:38:05.0,2026-03-12T09:38:00.0,13,The event has ended,10,465167
Alon,2026-03-12,09:38:05.0,2026-03-12T09:38:00.0,13,The event has ended,10,465166
Kedar South,2026-03-12,09:38:05.0,2026-03-12T09:38:00.0,13,The event has ended,10,465165
Havat Tzon Kedar,2026-03-12,09:38:05.0,2026-03-12T09:38:00.0,13,The event has ended,10,465164
Havat Haroe Haivri,2026-03-12,09:38:05.0,2026-03-12T09:38:00.0,13,The event has ended,10,465163
